transaction_id,bank_ref,match_type,confidence,amount_diff,date_diff_days
pay_3746317213,BNK90001,exact_utr,1.0,0.0,2
pay_7110082321,BNK90002,exact_utr,1.0,2.43,0
pay_2748309234,BNK90008,exact_utr,1.0,0.0,1
pay_6110572428,BNK90011,exact_utr,1.0,0.0,2
pay_3660223333,BNK90012,exact_utr,1.0,0.0,0
pay_1480494664,BNK90015,exact_utr,1.0,0.0,2
pay_1118543408,BNK90016,exact_utr,1.0,0.0,2
pay_6859286614,BNK90017,exact_utr,1.0,0.0,0
pay_1632880459,BNK90020,exact_utr,1.0,0.0,2
pay_3691864041,BNK90023,exact_utr,1.0,0.0,2
pay_3294043548,BNK90026,exact_utr,1.0,1.06,2
pay_6128695961,BNK90030,exact_utr,1.0,0.0,0
pay_5575615203,BNK90031,exact_utr,1.0,0.0,2
pay_9848621776,BNK90032,exact_utr,1.0,0.0,0
pay_2825957977,BNK90033,exact_utr,1.0,2.34,2
pay_8613035386,BNK90035,exact_utr,1.0,0.0,2
pay_9648665968,BNK90036,exact_utr,1.0,0.0,2
pay_9301537234,BNK90037,exact_utr,1.0,0.0,2
pay_2891100776,BNK90038,exact_utr,1.0,0.0,1
pay_3651968205,BNK90039,exact_utr,1.0,0.0,0
pay_2178884276,BNK90041,exact_utr,1.0,0.0,0
pay_1323408297,BNK90042,exact_utr,1.0,0.0,0
pay_9861449701,BNK90043,exact_utr,1.0,0.0,0
pay_8875651818,BNK90044,exact_utr,1.0,0.0,0
pay_2432410914,BNK90045,exact_utr,1.0,0.0,0
pay_2390587865,BNK90046,exact_utr,1.0,2.62,0
pay_3389594115,BNK90047,exact_utr,1.0,0.0,0
pay_2846465000,BNK90050,exact_utr,1.0,0.0,1
pay_8757570742,BNK90051,exact_utr,1.0,0.0,0
pay_3250402001,BNK90052,exact_utr,1.0,0.0,2
pay_7417183769,BNK90053,exact_utr,1.0,0.0,0
pay_5658832688,BNK90054,exact_utr,1.0,0.0,0
pay_9752058817,BNK90055,exact_utr,1.0,0.0,0
pay_8086527181,BNK90058,exact_utr,1.0,0.0,0
pay_1205082311,BNK90059,exact_utr,1.0,1.48,0
pay_6804850108,BNK90062,exact_utr,1.0,0.0,0
pay_4656572173,BNK90065,exact_utr,1.0,0.0,1
pay_3225231724,BNK90066,exact_utr,1.0,0.0,2
pay_3420721027,BNK90067,exact_utr,1.0,0.0,0
pay_7183058541,BNK90068,exact_utr,1.0,0.0,0
pay_2343100352,BNK90069,exact_utr,1.0,0.0,0
pay_6582557981,BNK90072,exact_utr,1.0,0.0,0
pay_7460544248,BNK90078,exact_utr,1.0,0.0,0
pay_2553854176,BNK90081,exact_utr,1.0,0.0,1
pay_5388470693,BNK90082,exact_utr,1.0,0.0,1
pay_2613385303,BNK90083,exact_utr,1.0,0.0,0
pay_5961208540,BNK90084,exact_utr,1.0,0.0,0
pay_9561946187,BNK90085,exact_utr,1.0,0.0,1
pay_2766685440,BNK90093,exact_utr,1.0,0.0,1
pay_5714524551,BNK90095,exact_utr,1.0,0.0,2
pay_1112794026,BNK90096,exact_utr,1.0,0.0,1
pay_7161887665,BNK90097,exact_utr,1.0,0.0,2
pay_6195400294,BNK90100,exact_utr,1.0,0.0,1
pay_6244291385,BNK90101,exact_utr,1.0,0.0,0
pay_7238213207,BNK90102,exact_utr,1.0,0.0,0
pay_7858937483,BNK90105,exact_utr,1.0,0.0,1
pay_7406913885,BNK90106,exact_utr,1.0,0.0,2
pay_2838963536,BNK90107,exact_utr,1.0,0.0,1
pay_4719780110,BNK90108,exact_utr,1.0,0.0,1
pay_4273856102,BNK90109,exact_utr,1.0,0.0,0
pay_5517391943,BNK90110,exact_utr,1.0,0.0,0
pay_5738214525,BNK90111,exact_utr,1.0,0.0,1
pay_4850837385,BNK90112,exact_utr,1.0,0.0,2
pay_5100282913,BNK90113,exact_utr,1.0,0.6,0
pay_8589679668,BNK90114,exact_utr,1.0,0.0,1
pay_1248704157,BNK90115,exact_utr,1.0,0.0,0
pay_5421051452,BNK90116,exact_utr,1.0,1.11,2
pay_6858234447,BNK90117,exact_utr,1.0,0.0,2
pay_1561387824,BNK90119,exact_utr,1.0,0.0,0
pay_1746756255,BNK90120,exact_utr,1.0,0.0,0
pay_1276905285,BNK90121,exact_utr,1.0,0.0,0
pay_7568861677,BNK90123,exact_utr,1.0,0.0,0
